,location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
45,3394396,Nairobi CMR,pm25,21.3,µg/m³,2025-03-15T09:00:00Z,2025-03-15T12:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
46,3394396,Nairobi CMR,pm25,20.2,µg/m³,2025-03-15T10:00:00Z,2025-03-15T13:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
47,3394396,Nairobi CMR,pm25,18.6,µg/m³,2025-03-15T11:00:00Z,2025-03-15T14:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
48,3394396,Nairobi CMR,pm25,16.6,µg/m³,2025-03-15T12:00:00Z,2025-03-15T15:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
49,3394396,Nairobi CMR,pm25,18.4,µg/m³,2025-03-15T13:00:00Z,2025-03-15T16:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
50,3394396,Nairobi CMR,pm25,16.8,µg/m³,2025-03-15T14:00:00Z,2025-03-15T17:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
51,3394396,Nairobi CMR,pm25,15.5,µg/m³,2025-03-15T15:00:00Z,2025-03-15T18:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
52,3394396,Nairobi CMR,pm25,31.7,µg/m³,2025-03-15T16:00:00Z,2025-03-15T19:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
53,3394396,Nairobi CMR,pm25,29.4,µg/m³,2025-03-15T17:00:00Z,2025-03-15T20:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
54,3394396,Nairobi CMR,pm25,32.6,µg/m³,2025-03-15T18:00:00Z,2025-03-15T21:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
55,3394396,Nairobi CMR,pm25,30.7,µg/m³,2025-03-15T19:00:00Z,2025-03-15T22:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
56,3394396,Nairobi CMR,pm25,40.3,µg/m³,2025-03-15T20:00:00Z,2025-03-15T23:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
57,3394396,Nairobi CMR,pm25,43.4,µg/m³,2025-03-15T21:00:00Z,2025-03-16T00:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
58,3394396,Nairobi CMR,pm25,40.9,µg/m³,2025-03-15T22:00:00Z,2025-03-16T01:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
59,3394396,Nairobi CMR,pm25,35.4,µg/m³,2025-03-15T23:00:00Z,2025-03-16T02:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
60,3394396,Nairobi CMR,pm25,34.4,µg/m³,2025-03-16T00:00:00Z,2025-03-16T03:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
61,3394396,Nairobi CMR,pm25,30.8,µg/m³,2025-03-16T01:00:00Z,2025-03-16T04:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
62,3394396,Nairobi CMR,pm25,28.4,µg/m³,2025-03-16T02:00:00Z,2025-03-16T05:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
63,3394396,Nairobi CMR,pm25,29.7,µg/m³,2025-03-16T03:00:00Z,2025-03-16T06:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
64,3394396,Nairobi CMR,pm25,32.2,µg/m³,2025-03-16T04:00:00Z,2025-03-16T07:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
65,3394396,Nairobi CMR,pm25,31.6,µg/m³,2025-03-16T05:00:00Z,2025-03-16T08:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
66,3394396,Nairobi CMR,pm25,27.5,µg/m³,2025-03-16T06:00:00Z,2025-03-16T09:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
67,3394396,Nairobi CMR,pm25,28.9,µg/m³,2025-03-16T07:00:00Z,2025-03-16T10:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
68,3394396,Nairobi CMR,pm25,27.7,µg/m³,2025-03-16T08:00:00Z,2025-03-16T11:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
69,3394396,Nairobi CMR,pm25,33.7,µg/m³,2025-03-16T09:00:00Z,2025-03-16T12:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
70,3394396,Nairobi CMR,pm25,41.8,µg/m³,2025-03-16T10:00:00Z,2025-03-16T13:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
71,3394396,Nairobi CMR,pm25,30.5,µg/m³,2025-03-16T11:00:00Z,2025-03-16T14:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
72,3394396,Nairobi CMR,pm25,22.3,µg/m³,2025-03-16T12:00:00Z,2025-03-16T15:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
73,3394396,Nairobi CMR,pm25,21.0,µg/m³,2025-03-16T13:00:00Z,2025-03-16T16:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
74,3394396,Nairobi CMR,pm25,19.2,µg/m³,2025-03-16T14:00:00Z,2025-03-16T17:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
75,3394396,Nairobi CMR,pm25,18.0,µg/m³,2025-03-16T15:00:00Z,2025-03-16T18:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
76,3394396,Nairobi CMR,pm25,20.1,µg/m³,2025-03-16T16:00:00Z,2025-03-16T19:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
77,3394396,Nairobi CMR,pm25,26.2,µg/m³,2025-03-16T17:00:00Z,2025-03-16T20:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
78,3394396,Nairobi CMR,pm25,30.0,µg/m³,2025-03-16T18:00:00Z,2025-03-16T21:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
79,3394396,Nairobi CMR,pm25,25.8,µg/m³,2025-03-16T19:00:00Z,2025-03-16T22:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
80,3394396,Nairobi CMR,pm25,15.6,µg/m³,2025-03-16T20:00:00Z,2025-03-16T23:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
81,3394396,Nairobi CMR,pm25,14.4,µg/m³,2025-03-16T21:00:00Z,2025-03-17T00:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
82,3394396,Nairobi CMR,pm25,17.3,µg/m³,2025-03-16T22:00:00Z,2025-03-17T01:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
83,3394396,Nairobi CMR,pm25,12.3,µg/m³,2025-03-16T23:00:00Z,2025-03-17T02:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
84,3394396,Nairobi CMR,pm25,8.8,µg/m³,2025-03-17T00:00:00Z,2025-03-17T03:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
85,3394396,Nairobi CMR,pm25,10.6,µg/m³,2025-03-17T01:00:00Z,2025-03-17T04:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
86,3394396,Nairobi CMR,pm25,12.8,µg/m³,2025-03-17T02:00:00Z,2025-03-17T05:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
87,3394396,Nairobi CMR,pm25,15.7,µg/m³,2025-03-17T03:00:00Z,2025-03-17T06:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
88,3394396,Nairobi CMR,pm25,19.5,µg/m³,2025-03-17T04:00:00Z,2025-03-17T07:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
89,3394396,Nairobi CMR,pm25,29.4,µg/m³,2025-03-17T05:00:00Z,2025-03-17T08:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
90,3394396,Nairobi CMR,pm25,47.5,µg/m³,2025-03-17T06:00:00Z,2025-03-17T09:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
91,3394396,Nairobi CMR,pm25,18.6,µg/m³,2025-03-17T07:00:00Z,2025-03-17T10:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
92,3394396,Nairobi CMR,pm25,15.8,µg/m³,2025-03-17T08:00:00Z,2025-03-17T11:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
93,3394396,Nairobi CMR,pm25,19.2,µg/m³,2025-03-17T09:00:00Z,2025-03-17T12:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
94,3394396,Nairobi CMR,pm25,26.4,µg/m³,2025-03-17T10:00:00Z,2025-03-17T13:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
95,3394396,Nairobi CMR,pm25,28.1,µg/m³,2025-03-17T11:00:00Z,2025-03-17T14:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
96,3394396,Nairobi CMR,pm25,20.4,µg/m³,2025-03-17T12:00:00Z,2025-03-17T15:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
97,3394396,Nairobi CMR,pm25,20.1,µg/m³,2025-03-17T13:00:00Z,2025-03-17T16:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
98,3394396,Nairobi CMR,pm25,19.2,µg/m³,2025-03-17T14:00:00Z,2025-03-17T17:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
